Date,Time Start,Time End,Polygon-Location,Species,Count,Behavior,Notes,Observers,Longitude,Latitude
2/23/2015,9:00,9:30,Beach North,BLTU,1,,,"MH, CS, AO",-119.8811543,34.40966781
2/23/2015,9:00,9:30,Beach North,BLTU,1,,,"MH, CS, AO",-119.879334,34.40752106
2/23/2015,9:00,9:30,Beach North,BLTU,1,,,"MH, CS, AO",-119.879334,34.40752106
2/23/2015,9:00,9:30,Beach North,BLTU,1,,,"MH, CS, AO",-119.879334,34.40752106
2/23/2015,9:00,9:30,Beach North,BLTU,1,,,"MH, CS, AO",-119.879334,34.40752106
2/23/2015,9:00,9:30,Beach North,BLTU,1,,,"MH, CS, AO",-119.879334,34.40752106
2/23/2015,9:00,9:30,Beach North,BLTU,1,,,"MH, CS, AO",-119.879334,34.40752106
2/23/2015,9:00,9:30,Beach North,HERG,1,,,"MH, CS, AO",-119.8833724,34.41241198
2/23/2015,9:00,9:30,Beach North,KILL,1,,,"MH, CS, AO",-119.8792317,34.40763052
2/23/2015,9:00,9:30,Beach North,KILL,1,,,"MH, CS, AO",-119.8792317,34.40763052
2/23/2015,9:00,9:30,Beach North,MAGO,1,,,"MH, CS, AO",-119.8838483,34.41316548
2/23/2015,9:00,9:30,Beach North,MAGO,1,,,"MH, CS, AO",-119.8839355,34.41306237
2/23/2015,9:00,9:30,Beach North,MAGO,1,,,"MH, CS, AO",-119.8839355,34.41321307
2/23/2015,9:00,9:30,Beach North,RUTU,1,,,"MH, CS, AO",-119.8809425,34.40934516
2/23/2015,9:00,9:30,Beach North,SAND,1,,,"MH, CS, AO",-119.883063,34.41199161
2/23/2015,9:00,9:30,Beach North,SAND,1,,,"MH, CS, AO",-119.8792793,34.40760435
2/23/2015,9:00,9:30,Beach North,SAND,1,,,"MH, CS, AO",-119.8792793,34.40760435
2/23/2015,9:00,9:30,Beach North,SAND,1,,,"MH, CS, AO",-119.8792793,34.40760435
2/23/2015,9:00,9:30,Beach North,SAND,1,,,"MH, CS, AO",-119.8792793,34.40760435
2/23/2015,9:00,9:30,Beach North,SAND,1,,,"MH, CS, AO",-119.8792793,34.40760435
2/23/2015,9:00,9:30,Beach North,SAND,1,,,"MH, CS, AO",-119.8792793,34.40760435
2/23/2015,9:00,9:30,Beach North,SAND,1,,,"MH, CS, AO",-119.8792793,34.40760435
2/23/2015,9:00,9:30,Beach North,SAND,1,,,"MH, CS, AO",-119.8792793,34.40760435
2/23/2015,9:00,9:30,Beach North,SAND,1,,,"MH, CS, AO",-119.8792793,34.40760435
2/23/2015,9:00,9:30,Beach North,SAND,1,,,"MH, CS, AO",-119.8792793,34.40760435
2/23/2015,9:00,9:30,Beach North,SAND,1,,,"MH, CS, AO",-119.8792793,34.40760435
2/23/2015,9:00,9:30,Beach North,SEPL,1,,,"MH, CS, AO",-119.8811353,34.40961309
2/23/2015,9:00,9:30,Beach North,SEPL,1,,,"MH, CS, AO",-119.8812043,34.40965354
2/23/2015,9:00,9:30,Beach North,SNPL,1,,,"MH, CS, AO",-119.8811805,34.40960119
2/23/2015,9:00,9:30,Beach North,SNPL,1,,,"MH, CS, AO",-119.8811805,34.40960119
2/23/2015,9:00,9:30,Beach North,SNPL,1,,,"MH, CS, AO",-119.8811805,34.40960119
2/23/2015,9:00,9:30,Beach North,SNPL,1,,,"MH, CS, AO",-119.8811805,34.40960119
2/23/2015,9:00,9:30,Beach North,SNPL,1,,,"MH, CS, AO",-119.8811805,34.40960119
2/23/2015,9:00,9:30,Beach North,SNPL,1,,,"MH, CS, AO",-119.8811805,34.40960119
2/23/2015,9:00,9:30,Beach North,SNPL,1,,,"MH, CS, AO",-119.8811805,34.40960119
2/23/2015,9:00,9:30,Beach North,SNPL,1,,,"MH, CS, AO",-119.8811805,34.40960119
2/23/2015,9:00,9:30,Beach North,SNPL,1,,,"MH, CS, AO",-119.8811805,34.40960119
2/23/2015,9:00,9:30,Beach North,SNPL,1,,,"MH, CS, AO",-119.8809116,34.40937371
2/23/2015,9:00,9:30,Beach North,SNPL,1,,,"MH, CS, AO",-119.8794221,34.40761862
2/23/2015,9:00,9:30,Beach North,SNPL,1,,,"MH, CS, AO",-119.8792365,34.40755676
2/23/2015,9:00,9:30,Beach North,SNPL,1,,,"MH, CS, AO",-119.8792365,34.40755676
2/23/2015,9:00,9:30,Beach North,SNPL,1,,,"MH, CS, AO",-119.8792365,34.40755676
2/23/2015,9:00,9:30,Beach North,SNPL,1,,,"MH, CS, AO",-119.8792365,34.40755676
2/23/2015,8:11,8:50,Beach North,WILL,1,,,"MH, CS, AO",-119.8836341,34.41273717
2/23/2015,9:50,9:58,Cypress,ANHU,1,,,"MH, CS, AO",-119.8809064,34.4127037
2/23/2015,9:50,9:58,Cypress,HOFI,1,,,"MH, CS, AO",-119.881533,34.41279492
2/23/2015,9:50,9:58,Cypress,HOFI,1,,,"MH, CS, AO",-119.8814379,34.41273543
2/23/2015,9:50,9:58,Cypress,HOFI,1,,,"MH, CS, AO",-119.8813863,34.41276716
2/23/2015,9:50,9:58,Cypress,HOFI,1,,,"MH, CS, AO",-119.8814379,34.41283061
2/23/2015,9:50,9:58,Cypress,HOFI,1,,,"MH, CS, AO",-119.8814894,34.4128544
2/23/2015,9:50,9:58,Cypress,HOFI,1,,,"MH, CS, AO",-119.8814815,34.41277509
2/23/2015,9:50,9:58,Cypress,HOFI,1,,,"MH, CS, AO",-119.8797207,34.41278302
2/23/2015,9:50,9:58,Cypress,MODO,1,,,"MH, CS, AO",-119.8799467,34.41289803
2/23/2015,9:50,9:58,Cypress,PUFI,1,S,,"MH, CS, AO",-119.8784239,34.41282268
2/23/2015,9:35,9:49,Dune Pond,BLPH,1,,,"MH, CS, AO",-119.8811761,34.4139093
2/23/2015,9:35,9:49,Dune Pond,BNST,1,,,"MH, CS, AO",-119.8818384,34.41374273
